advertisement,type,qualities
Chevrolet,brand,"innovative,reliable,variety of vehicles"
Dodge Charger,car model,"powerful,comfortable,sporty"
Ford Mustang,car model,"luxury,speed,comfort,style"
Nissan,brand,"economical,variety,reliable"
Toyota Hilux,truck model,"spacious,rugged,durable"
BMW,brand,"luxury,performance,safety"
Audi A8,car model,"luxury,comfort,performance"
Nissan Xterra,car model,"spacious,safe,compact"
Subaru Impreza,car model,"efficient,compact,comfortable"
Jaguar XK,car model,"luxury,performance,safety"
Mazda,brand,"reliable,affordable,efficient"
Volvo,brand,"safety,versatility,reliability"
Porsche 911,car model,"luxury,speed,comfort"
Ferrari,brand,"luxury,speed,performance"
Lamborghini,brand,"luxury,speed,performance"
Aston Martin,brand,"luxury,speed,performance"
Bugatti,brand,"luxury,speed,performance"
Maserati,brand,"luxury,speed,performance"
Bentley,brand,"luxury,speed,performance"
Mercedes-Benz,brand,"luxury,safety,reliability"
Jeep Wrangler,car model,"sporty,versatile,efficient"
Ford Escape,car model,"compact,economical,safe"
Chrysler Pacifica,car model,"spacious,comfortable,innovative"
Dodge Grand Caravan,car model,"spacious,family-friendly,efficient"
Chevrolet Traverse,car model,"spacious,comfortable,innovative"
Honda Pilot,car model,"safety,reliability,comfort"
Lexus RX,car model,"luxury,comfort,performance"
BMW X5,car model,"luxury,comfort,performance"
Audi Q5,car model,"luxury,comfort,performance"
Mercedes-Benz GLC,car model,"luxury,comfort,performance"
VW Tiguan,car model,"economical,compact,efficient"
Toyota Highlander,car model,"safety,reliability,comfort"
Acura RDX,car model,"luxury,comfort,performance"
Infiniti QX60,car model,"luxury,comfort,performance"
Land Rover Discovery,car model,"luxury,comfort,performance"
Mitusbishi Outlander,car model,"efficient,compact,comfortable"
Cadillac Escalade,car model,"luxury,comfort,performance"
Lexus LX,car model,"luxury,comfort,performance"
Range Rover,car model,"luxury,comfort,performance"
Toyota Land Cruiser,car model,"durable,reliable,comfortable"
Lincoln Navigator,car model,"luxury,comfort,performance"
Chevrolet Equinox,car model,"versatile,economical,safe"
Ford Explorer,car model,"reliable,spacious,comfortable"
Buick Enclave,car model,"luxury,comfort,innovative"
Jeep Cherokee,car model,"sporty,versatile,economical"
Hyundai Tucson,car model,"efficient,economical,reliable"
Kia Sportage,car model,"efficient,economical,comfortable"
Peugeot 3008,car model,"efficient,comfortable,innovative"
Citroen C5 Aircross,car model,"efficient,comfortable,innovative"
Vauxhall Grandland X,car model,"efficient,spacious,innovative"
Nissan Qashqai,car model,"efficient,compact,comfortable"
Renault Captur,car model,"compact,economical,innovative"
Skoda Kodiaq,car model,"spacious,efficient,family-friendly"
Dacia Duster,car model,"economical,spacious,comfortable"
Ford Kuga,car model,"compact,efficient,innovative"
Mercedes-Benz A-Class,car model,"luxury,comfort,performance"
BMW 2 Series,car model,"luxury,comfort,performance"
Audi A3,car model,"luxury,comfort,performance"
Volkswagen Golf,car model,"efficient,compact,innovative"
Toyota Yaris,car model,"economical,compact,innovative"
Nissan Leaf,car model,"efficient,compact,innovative"
Hyundai i30,car model,"efficient,compact,comfortable"
Kia Ceed,car model,"efficient,compact,comfortable"
Skoda Octavia,car model,"efficient,spacious,affordable"
Ford Focus,car model,"efficient,comfortable,innovative"
Peugeot 208,car model,"efficient,compact,innovative"
Citroen C4,car model,"comfort,innovation,economy"
Vauxhall Astra,car model,"efficient,comfortable,affordable"
Renault Megane,car model,"efficient,comfortable,innovative"
Dacia Sandero,car model,"affordable,spacious,comfortable"
Mercedes-Benz E-Class,car model,"luxury,comfort,performance"
BMW 3 Series,car model,"luxury,comfort,performance"
Audi A4,car model,"luxury,comfort,performance"
Vauxhall Insignia,car model,"efficient,comfortable,affordable"
Peugeot 508,car model,"efficient,comfortable,innovative"
Volkswagen Passat,car model,"efficient,comfortable,innovative"
Toyota Camry,car model,"reliable,comfortable,efficient"
Nissan Altima,car model,"reliable,comfortable,efficient"
Hyundai Sonata,car model,"efficient,comfortable,reliable"
Kia Optima,car model,"efficient,comfortable,affordable"
Skoda Superb,car model,"efficient,spacious,comfortable"
BMW M3,car model,"luxury,sporty,performance"
Volkswagen Golf GTI,car model,"efficient,sporty,innovative"
Subaru WRX,car model,"sporty,reliable,comfortable"
Nissan 370Z,car model,"sporty,comfortable,high-performance"
Ford Fiesta ST,car model,"sporty,efficient,innovative"
Hyundai Veloster N,car model,"sporty,efficient,innovative"
Kia Stinger,car model,"sporty,comfortable,high-performance"
Skoda Octavia RS,car model,"sporty,efficient,comfortable"
Lexus LC500,car model,"sporty,luxury,high-performance"
Dodge Hellcat,car model,"sporty,comfortable,high-performance"
Chevrolet Camaro ZL1,car model,"sporty,comfortable,high-performance"
Ford Mustang Shelby GT500,car model,"sporty,comfortable,high-performance"
Mazda MX-5,car model,"sporty,comfortable,affordable"
Ford Transit,van model,"spacious,comfortable,reliable"
Peugeot Boxer,van model,"spacious,comfortable,economical"
Citroen Relay,van model,"spacious,comfortable,economical"
Vauxhall Movano,van model,"spacious,comfortable,affordable"
Renault Master,van model,"spacious,comfortable,innovative"
Nissan NV400,van model,"spacious,comfortable,reliable"
