advertisement,type,qualities
Capital One,brand,"credit cards, loans, saving accounts"
Chase,brand,"credit cards, mortgage loans, auto loans"
Bank of America,brand,wide range of banking solutions
Merrill,brand,providing wealth management services
Citi,brand,international banking services
TD Bank,brand,"full-service bank, available 24/7"
Wells Fargo,brand,diversified financial services
Discover Bank,brand,"credit card, banking, loan services"
American Express,brand,credit card services and travel benefits
Goldman Sachs,brand,"investment banking, securities, investment management"
Morgan Stanley,brand,investment banking services
PNC Bank,brand,"retail, corporate banking services"
BB&T Bank,brand,"asset management, mortgage, insurance services"
U.S. Bank,brand,national commercial bank services
Barclays,brand,international commercial banking services
HSBC,brand,leading global banking services
ING,brand,"retail banking, direct banking"
SunTrust Bank,brand,"mortgage banking, equity financing"
Fifth Third Bank,brand,"commercial banking, wealth and asset management"
Banco Santander,brand,retail and commercial banking services
Monzo,brand,online banking services
Zopa,brand,peer-to-peer lending service
Paypal,brand,online payments system
Visa,brand,global payments technology
Mastercard,brand,financial services corporation
Square,brand,credit card processing and business solutions
Stripe,brand,online payment processing
Venmo,brand,digital wallet and peer-to-peer payment platform
Revolut,brand,"financial superapp, offers banking services"
N26,brand,"mobile banking, features instant transaction notifications"
Citizens Bank,brand,wide range of financial services
Robinhood,brand,offers commission-free trades of stocks and exchange-trained funds
Mint,brand,"personal finance, money management, budget setting"
Western Union,brand,wire transfer and money order services
First Republic Bank,brand,"provides private banking, private business banking and private wealth management"
QuickBooks,brand,"offer features like automated entries, invoicing, bill payments, expense reports, financial reports, reconciliations and more"
Goodbudget,brand,budget tracker for the modern age
TurboTax,brand,tax preparation software
Personal Capital,brand,online financial advisor and personal wealth management
Expensify,brand,receipt tracking and expense management
Zelle,brand,digital payments network
SigFig,brand,online portfolio management
Prudential Financial,brand,investment management and financial services company
Alliant Credit Union,brand,online credit union offering a range of banking services
Upstart,brand,AI lending platform
Coinbase,brand,digital currency exchange
eToro,brand,social trading and investment marketplace
SoFi,brand,offers personal loan refinancing
Square Cash,brand,mobile payment service
Dwolla,brand,e-commerce company offering a seamless digital payments system
TradeKing,brand,online broker allowing traders to manage their portfolio actively
Saxo Bank,brand,facilitates online trading and investment platforms
TransUnion,brand,American consumer credit reporting agency
Experian,brand,multinational consumer credit reporting company
Equifax,brand,consumer credit reporting agency
Chase Sapphire Preferred,credit card,travel rewards
Capital One Quicksilver,credit card,cash back
Bank of America Advantage Plus,checking account,flexible banking
U.S. Bank Business Platinum,credit card,low interest
PNC Virtual Wallet,online banking,digital budgeting tools
Wells Fargo Loans,loan service,home and auto loans
Citi Bank Premier Savings,banking services,higher savings rates
Ally Bank,brand,"online banking, no fees"
American Express Gold Card,credit card,airline rewards
Chase Freedom Flex,credit card,cashback rewards
Marcus by Goldman Sachs,brand,"online savings, personal loans"
TD Beyond Checking and Savings Accounts,banking services,"tiered interest, relationship benefits"
Barclays AAdvantage Aviator Red,credit card,"airline miles, travel benefits"
Fifth Third Preferred Credit Card,credit card,"low APR, travel rewards"
HSBC Premier Checking,banking service,"priority services, global banking"
Bank of America Customized Cash Rewards,credit card,customizable rewards
Capital One SavorOne,credit card,food and entertainment cash back
Goldman Sachs Personal Loans,loan services,"low interest rates, no fees"
USAA Classic Checking,banking service,"free ATMs, no minimum balance"
Santander Simply Right Checking,banking service,easy mobile banking
Discover Cash Back Credit Card,credit card,rotating categories
J.P. Morgan Chase & Co,brand,"wealth management, investment banking"
Discover Personal Loans,loan service,low interest
Bank of the West,brand,"wide variety of services, community focus"
Citibank Diamond Preferred,credit card,"low interest, balance transfers"
KeyBank Personal Loans,loan service,"flexible terms, quick approval"
Union Bank Home Loans,loan service,"competitive rates, variety of options"
PNC Virtual Wallet Student,banking service,"student-oriented, financial tools"
Huntington Bank Asterisk-Free Checking,banking service,"no fees, free overdraft protection"
Regions Bank LifeGreen Checking,banking service,"online first, eco-friendly"
Citibank Access Checking,banking service,"digital banking, convenient access"
Capital One Venture,credit card,travel rewards
Wells Fargo Propel American Express,credit card,travel rewards
First Citizens Bank,brand,"customer-focused, wide range of services"
Alliant Credit Union High-Rate Checking,banking services,"high APY, digital tools"
Citi Double Cash,credit card,cash back
Merrill Edge,brand,"online investing, affordable trades"
Synchrony Commerce Sync,credit card,retail rewards
BMO Harris Bank Premium Rewards Mastercard,credit card,travel rewards
Bank of America Business Advantage Relationship Rewards,credit card,business benefits
U.S. Bank Home Mortgage,loan service,variety of mortgage options
Webster Bank Value Checking,banking service,"low fees, mobile banking"
American Express Blue Credit Card,credit card,"cashback benefits, no annual fees"
Charter One Bank,brand,"full service banking, mortgages, auto financing, business banking, personal loans"
Fidelity,brand,"investment services, retirement planning"
